,num_device,date,en_L1,cons_en_L1,en_L2,cons_en_L2,en_L3,cons_en_L3,hour,day,month,year,cons_glbal
5081,34,2020-02-13 18:00:00,4874995.105018616,812.421875,13107990.79309845,2442.5625,1168112.8630218506,130.8798828125,18,Thursday,2,2020,3385.8642578125
5082,34,2020-02-13 19:00:00,4875808.042518616,812.9375,13110665.10559845,2674.3125,1168112.8630218506,0.0,19,Thursday,2,2020,3487.25
5083,34,2020-02-13 20:00:00,4876479.339393616,671.296875,13113293.79309845,2628.6875,1168253.403060913,140.5400390625,20,Thursday,2,2020,3440.5244140625
5084,34,2020-02-13 21:00:00,4877310.151893616,830.8125,13115663.60559845,2369.8125,1168389.764389038,136.361328125,21,Thursday,2,2020,3336.986328125
5085,34,2020-02-13 22:00:00,4878089.370643616,779.21875,13118242.41809845,2578.8125,1168389.764389038,0.0,22,Thursday,2,2020,3358.03125
5086,34,2020-02-13 23:00:00,4878924.870643616,835.5,13120681.29309845,2438.875,1168527.1032562256,137.3388671875,23,Thursday,2,2020,3411.7138671875
5087,34,2020-02-14 00:00:00,4879742.355018616,817.484375,13123144.10559845,2462.8125,1168529.1364593506,2.033203125,0,Friday,2,2020,3282.330078125
5088,34,2020-02-14 01:00:00,4880419.230018616,676.875,13125621.16809845,2477.0625,1168663.0016937256,133.865234375,1,Friday,2,2020,3287.802734375
5089,34,2020-02-14 02:00:00,4881233.261268616,814.03125,13128134.98059845,2513.8125,1168663.0016937256,0.0,2,Friday,2,2020,3327.84375
5090,34,2020-02-14 03:00:00,4881941.386268616,708.125,13130475.23059845,2340.25,1168791.5055999756,128.50390625,3,Friday,2,2020,3176.87890625
5091,34,2020-02-14 04:00:00,4882727.042518616,785.65625,13132962.41809845,2487.1875,1168791.5055999756,0.0,4,Friday,2,2020,3272.84375
5092,34,2020-02-14 05:00:00,4883563.605018616,836.5625,13135592.98059845,2630.5625,1168932.559310913,141.0537109375,5,Friday,2,2020,3608.1787109375
5093,34,2020-02-14 06:00:00,4884223.370643616,659.765625,13138055.85559845,2462.875,1168932.559310913,0.0,6,Friday,2,2020,3122.640625
5094,34,2020-02-14 07:00:00,4885052.120643616,828.75,13140369.73059845,2313.875,1169071.2380218506,138.6787109375,7,Friday,2,2020,3281.3037109375
5095,34,2020-02-14 08:00:00,4885847.105018616,794.984375,13142949.98059845,2580.25,1169206.375717163,135.1376953125,8,Friday,2,2020,3510.3720703125
5096,34,2020-02-14 09:00:00,4886562.730018616,715.625,13145385.41809845,2435.4375,1169341.186264038,134.810546875,9,Friday,2,2020,3285.873046875
5097,34,2020-02-14 10:00:00,4887357.620643616,794.890625,13147827.66809845,2442.25,1169341.186264038,0.0,10,Friday,2,2020,3237.140625
5098,34,2020-02-14 11:00:00,4888191.870643616,834.25,13150344.10559845,2516.4375,1169476.828842163,135.642578125,11,Friday,2,2020,3486.330078125
5099,34,2020-02-14 12:00:00,4888851.558143616,659.6875,13152815.48059845,2471.375,1169476.828842163,0.0,12,Friday,2,2020,3131.0625
5100,34,2020-02-14 13:00:00,4889540.480018616,688.921875,13155298.73059845,2483.25,1169476.828842163,0.0,13,Friday,2,2020,3172.171875
5101,34,2020-02-14 14:00:00,4890073.183143616,532.703125,13157616.48059845,2317.75,1169476.828842163,0.0,14,Friday,2,2020,2850.453125
5102,34,2020-02-14 15:00:00,4890883.542518616,810.359375,13160152.16809845,2535.6875,1169476.828842163,0.0,15,Friday,2,2020,3346.046875
5103,34,2020-02-14 16:00:00,4891568.683143616,685.140625,13162635.54309845,2483.375,1169614.996810913,138.16796875,16,Friday,2,2020,3306.68359375
5104,34,2020-02-14 17:00:00,4892249.323768616,680.640625,13165095.29309845,2459.75,1169614.996810913,0.0,17,Friday,2,2020,3140.390625
5105,34,2020-02-14 18:00:00,4892926.651893616,677.328125,13167543.66809845,2448.375,1169614.996810913,0.0,18,Friday,2,2020,3125.703125
5106,34,2020-02-14 19:00:00,4893602.386268616,675.734375,13170011.29309845,2467.625,1169614.996810913,0.0,19,Friday,2,2020,3143.359375
5107,34,2020-02-14 20:00:00,4894308.730018616,706.34375,13172548.10559845,2536.8125,1169614.996810913,0.0,20,Friday,2,2020,3243.15625
5108,34,2020-02-14 21:00:00,4894980.573768616,671.84375,13175121.73059845,2573.625,1169614.996810913,0.0,21,Friday,2,2020,3245.46875
5109,34,2020-02-14 22:00:00,4895651.198768616,670.625,13177570.91809845,2449.1875,1169751.383529663,136.38671875,22,Friday,2,2020,3256.19921875
5110,34,2020-02-14 23:00:00,4896322.542518616,671.34375,13180053.91809845,2483.0,1169751.383529663,0.0,23,Friday,2,2020,3154.34375
5111,34,2020-02-15 00:00:00,4897147.167518616,824.625,13182448.35559845,2394.4375,1169751.383529663,0.0,0,Saturday,2,2020,3219.0625
5112,34,2020-02-15 01:00:00,4897819.464393616,672.296875,13184956.91809845,2508.5625,1169751.383529663,0.0,1,Saturday,2,2020,3180.859375
5113,34,2020-02-15 02:00:00,4898523.261268616,703.796875,13187202.54309845,2245.625,1169751.383529663,0.0,2,Saturday,2,2020,2949.421875
5114,34,2020-02-15 03:00:00,4899197.901893616,674.640625,13189720.91809845,2518.375,1169886.754623413,135.37109375,3,Saturday,2,2020,3328.38671875
5115,34,2020-02-15 04:00:00,4899871.948768616,674.046875,13192137.85559845,2416.9375,1169886.754623413,0.0,4,Saturday,2,2020,3090.984375
5116,34,2020-02-15 05:00:00,4900549.089393616,677.140625,13194477.85559845,2340.0,1169886.754623413,0.0,5,Saturday,2,2020,3017.140625
5117,34,2020-02-15 06:00:00,4901236.198768616,687.109375,13196856.16809845,2378.3125,1169886.754623413,0.0,6,Saturday,2,2020,3065.421875
5118,34,2020-02-15 07:00:00,4901896.448768616,660.25,13199510.29309845,2654.125,1169886.754623413,0.0,7,Saturday,2,2020,3314.375
5119,34,2020-02-15 08:00:00,4902584.870643616,688.421875,13201721.16809845,2210.875,1169886.754623413,0.0,8,Saturday,2,2020,2899.296875
5120,34,2020-02-15 09:00:00,4903274.011268616,689.140625,13204204.48059845,2483.3125,1170022.6052093506,135.8505859375,9,Saturday,2,2020,3308.3037109375
5121,34,2020-02-15 10:00:00,4903960.026893616,686.015625,13206781.16809845,2576.6875,1170022.6052093506,0.0,10,Saturday,2,2020,3262.703125
5122,34,2020-02-15 11:00:00,4904760.698768616,800.671875,13209286.54309845,2505.375,1170022.6052093506,0.0,11,Saturday,2,2020,3306.046875
5123,34,2020-02-15 12:00:00,4905586.761268616,826.0625,13211676.60559845,2390.0625,1170151.344467163,128.7392578125,12,Saturday,2,2020,3344.8642578125
5124,34,2020-02-15 13:00:00,4906388.214393616,801.453125,13214339.41809845,2662.8125,1170283.705795288,132.361328125,13,Saturday,2,2020,3596.626953125
5125,34,2020-02-15 14:00:00,4907194.714393616,806.5,13217026.60559845,2687.1875,1170416.740951538,133.03515625,14,Saturday,2,2020,3626.72265625
5126,34,2020-02-15 15:00:00,4907867.808143616,673.09375,13219426.23059845,2399.625,1170552.0876312256,135.3466796875,15,Saturday,2,2020,3208.0654296875
5127,34,2020-02-15 16:00:00,4908696.386268616,828.578125,13222075.60559845,2649.375,1170689.207748413,137.1201171875,16,Saturday,2,2020,3615.0732421875
5128,34,2020-02-15 17:00:00,4909524.761268616,828.375,13224640.41809845,2564.8125,1170689.207748413,0.0,17,Saturday,2,2020,3393.1875
5129,34,2020-02-15 18:00:00,4910351.870643616,827.109375,13227232.29309845,2591.875,1170834.061264038,144.853515625,18,Saturday,2,2020,3563.837890625
5130,34,2020-02-15 19:00:00,4911007.120643616,655.25,13229600.60559845,2368.3125,1170834.061264038,0.0,19,Saturday,2,2020,3023.5625
5131,34,2020-02-15 20:00:00,4911831.026893616,823.90625,13232286.41809845,2685.8125,1170975.2809906006,141.2197265625,20,Saturday,2,2020,3650.9384765625
5132,34,2020-02-15 21:00:00,4912508.558143616,677.53125,13234823.66809845,2537.25,1170975.2809906006,0.0,21,Saturday,2,2020,3214.78125
5133,34,2020-02-15 22:00:00,4913203.980018616,695.421875,13237249.23059845,2425.5625,1170975.2809906006,0.0,22,Saturday,2,2020,3120.984375
5134,34,2020-02-15 23:00:00,4913870.261268616,666.28125,13239730.60559845,2481.375,1171111.252670288,135.9716796875,23,Saturday,2,2020,3283.6279296875
5135,34,2020-02-16 00:00:00,4914572.886268616,702.625,13242121.04309845,2390.4375,1171111.252670288,0.0,0,Sunday,2,2020,3093.0625
5136,34,2020-02-16 01:00:00,4915239.339393616,666.453125,13244638.23059845,2517.1875,1171111.252670288,0.0,1,Sunday,2,2020,3183.640625
5137,34,2020-02-16 02:00:00,4915926.276893616,686.9375,13246902.48059845,2264.25,1171111.252670288,0.0,2,Sunday,2,2020,2951.1875
5138,34,2020-02-16 03:00:00,4916737.292518616,811.015625,13249342.48059845,2440.0,1171111.252670288,0.0,3,Sunday,2,2020,3251.015625
5139,34,2020-02-16 04:00:00,4917424.308143616,687.015625,13251712.60559845,2370.125,1171114.5192718506,3.2666015625,4,Sunday,2,2020,3060.4072265625
5140,34,2020-02-16 05:00:00,4917957.901893616,533.59375,13254146.85559845,2434.25,1171247.237045288,132.7177734375,5,Sunday,2,2020,3100.5615234375
5141,34,2020-02-16 06:00:00,4918783.151893616,825.25,13256551.10559845,2404.25,1171247.237045288,0.0,6,Sunday,2,2020,3229.5
5142,34,2020-02-16 07:00:00,4919324.089393616,540.9375,13259048.04309845,2496.9375,1171247.237045288,0.0,7,Sunday,2,2020,3037.875
5143,34,2020-02-16 08:00:00,4919989.355018616,665.265625,13261500.48059845,2452.4375,1171247.237045288,0.0,8,Sunday,2,2020,3117.703125
5144,34,2020-02-16 09:00:00,4920818.667518616,829.3125,13263961.23059845,2460.75,1171250.1657562256,2.9287109375,9,Sunday,2,2020,3292.9912109375
5145,34,2020-02-16 10:00:00,4921492.464393616,673.796875,13266319.04309845,2357.8125,1171382.9079437256,132.7421875,10,Sunday,2,2020,3164.3515625
5146,34,2020-02-16 11:00:00,4922049.339393616,556.875,13268783.41809845,2464.375,1171382.9079437256,0.0,11,Sunday,2,2020,3021.25
5147,34,2020-02-16 12:00:00,4922720.776893616,671.4375,13271216.35559845,2432.9375,1171382.9079437256,0.0,12,Sunday,2,2020,3104.375
5148,34,2020-02-16 13:00:00,4923538.558143616,817.78125,13273822.10559845,2605.75,1171382.9079437256,0.0,13,Sunday,2,2020,3423.53125
5149,34,2020-02-16 14:00:00,4924074.417518616,535.859375,13276263.91809845,2441.8125,1171519.096420288,136.1884765625,14,Sunday,2,2020,3113.8603515625
5150,34,2020-02-16 15:00:00,4924765.026893616,690.609375,13278714.73059845,2450.8125,1171519.096420288,0.0,15,Sunday,2,2020,3141.421875
5151,34,2020-02-16 16:00:00,4925580.980018616,815.953125,13281334.73059845,2620.0,1171519.096420288,0.0,16,Sunday,2,2020,3435.953125
5152,34,2020-02-16 17:00:00,4926263.370643616,682.390625,13283790.79309845,2456.0625,1171519.096420288,0.0,17,Sunday,2,2020,3138.453125
5153,34,2020-02-16 18:00:00,4926942.589393616,679.21875,13286239.10559845,2448.3125,1171519.096420288,0.0,18,Sunday,2,2020,3127.53125
