,id_device,date,en_L1,cons_en_L1,en_L2,cons_en_L2,en_L3,cons_en_L3,cons_glbal
96,253,2020-01-06,56445951.548820496,4908539.692108154,59306651.07762146,5341260.988639832,44256528.657188416,3984147.92314148,14233948.603889465
97,253,2020-01-07,62781342.673820496,6327515.375,65038161.45262146,5722743.875,49059226.579063416,4796286.171875,16846545.421875
98,253,2020-01-08,65522765.720695496,2731855.453125,66942003.37449646,1897623.0625,51075653.922813416,2009682.40625,6639160.921875
99,253,2020-01-09,69558406.61620331,4035640.895507813,69909314.12059021,2967310.74609375,53862439.590782166,2786785.66796875,9789737.309570312
100,253,2020-01-10,75361382.61620331,5793996.71875,74250402.24559021,4334271.7890625,57776748.004844666,3908290.71875,14036559.2265625
101,253,2020-01-11,80997393.61620331,5628186.0,78563179.74559021,4306496.0,61580253.004844666,3797720.5,13732402.5
102,253,2020-01-12,86708006.61620331,5702338.0,83047880.74559021,4478443.0,65492648.504844666,3906939.5,14087720.5
103,253,2021-01-01,91322685.94432832,4608649.328125,87336243.62059021,4282650.875,69242641.61421967,3744903.109375,12636203.3125
104,253,2021-01-02,95499203.52245332,4170165.15625,91320540.4955902,3978422.546875,72703074.62984467,3455580.640625,11604168.34375
105,253,2021-01-03,99088081.77245332,3582795.5,94709076.4955902,3382747.5,75677401.75484467,2969157.625,9934700.625
